Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
tCore-test-data/mr_mgsb_jhn_book		100	en	v0.24	99	en	v0.24	94	en	v63_Door43-Catalog	v0.26	2022-07-20T08:17:49.936Z	3.2.0	7	unmatched tn checks found, 		
tCore-test-data/mr_mgsc_jhn_book		100	en	v0.24	99	en	v0.24	94	en	v63_Door43-Catalog	v0.26	2022-07-20T08:17:49.936Z	3.2.0	7	unmatched tn checks found, 		
tCore-test-data/mr_mgst_jhn_book		100	en	v0.24	99	en	v0.24	94	en	v60_Door43-Catalog	v0.24	2022-07-20T08:17:49.936Z	3.2.0	7	unmatched tn checks found, 		
tCore-test-data/mr_mgsx_jhn_book		100	en	v0.24	99	en	v0.24	94	en	v60_Door43-Catalog	v0.24	2022-07-20T08:17:49.936Z	3.2.0	7	unmatched tn checks found, 		
tCore-test-data/mr_mgsy_jhn_book		0	en	v0.26	99	en	v0.26	98	en	v63_Door43-Catalog	v0.26	2022-07-20T08:17:49.936Z	3.2.0	7	unmatched tn checks found, 		
tx-manager-test-data/mr_mgsa_jhn_book		0	en	v0.26	99	en	v0.26	98	en	v63_Door43-Catalog	v0.26	2022-07-20T08:17:49.936Z	3.2.0	7	unmatched tn checks found, 		
vipinbhadran_BCS/mr_irv_1co_book		78			0			0				2019-08-12T05:11:30.314Z	1.1.4	7			
vipinbhadran_BCS/mr_irv_1jn_book		76			0			0				2019-04-29T05:01:51.836Z		7			
vipinbhadran_BCS/mr_irv_1pe_book		76			0			0				2019-08-12T05:14:45.055Z	1.1.4	7			
vipinbhadran_BCS/mr_irv_1th_book		76			0			0				2019-09-13T05:38:07.659Z	1.1.4	7			
vipinbhadran_BCS/mr_irv_1ti_book		12			0			0				2019-09-13T05:38:50.219Z	1.1.4	7			
vipinbhadran_BCS/mr_irv_2co_book		56			0			0				2019-09-13T05:35:47.127Z	1.1.4	7			
vipinbhadran_BCS/mr_irv_2jn_book		80			0			0				2019-09-13T05:42:03.288Z	1.1.4	7			
vipinbhadran_BCS/mr_irv_2th_book		84			0			0				2019-08-12T05:14:00.731Z	1.1.4	7			
vipinbhadran_BCS/mr_irv_3jn_book		75			0			0				2019-09-13T05:43:01.689Z	1.1.4	7			
vipinbhadran_BCS/mr_irv_act_book		15			0			0				2019-09-13T05:32:24.079Z	1.1.4	7			
vipinbhadran_BCS/mr_irv_eph_book		31			0			0				2019-09-13T05:36:37.647Z	1.1.4	7			
